Complaint ID,Date,Category,Description,Location,Status,Priority Level,Department,Response Time (Days),latitude,longitude
CMP-1000,10/16/2024,Water Leakage,Water Leakage reported in Parks,Residential Area,In Progress,Medium,Water Management,,24.634382,46.792254
CMP-1001,11/13/2023,Street Lighting,Street Lighting reported in City Center,Industrial Area,Pending,Medium,Water Management,,24.847755,46.63543
CMP-1002,5/15/2024,Noise Complaint,Noise Complaint reported in City Center,City Center,Pending,High,Parks & Recreation,,24.668977,46.645152
CMP-1003,5/28/2024,Water Leakage,Water Leakage reported in Residential Area,Parks,Resolved,Low,Sanitation,13.0,24.625437,46.605083
CMP-1004,7/18/2023,Illegal Parking,Illegal Parking reported in Parks,Parks,Resolved,Medium,Traffic,18.0,24.716285,46.688068
CMP-1005,10/31/2024,Garbage Collection,Garbage Collection reported in Parks,Residential Area,Pending,Low,Traffic,,24.672067,46.619193
CMP-1006,2/23/2023,Potholes,Potholes reported in Suburbs,City Center,Pending,Critical,Sanitation,,24.636734,46.795534
CMP-1007,9/26/2023,Garbage Collection,Garbage Collection reported in Residential Area,Suburbs,Escalated,Low,Sanitation,,24.709551,46.723682
CMP-1008,2/7/2024,Illegal Parking,Illegal Parking reported in Parks,City Center,Resolved,Medium,Parks & Recreation,25.0,24.61986,46.731824
CMP-1009,7/29/2024,Noise Complaint,Noise Complaint reported in Parks,Residential Area,Escalated,High,Traffic,,24.806421,46.755197
CMP-1010,8/14/2024,Noise Complaint,Noise Complaint reported in Suburbs,City Center,In Progress,High,Parks & Recreation,,24.732392,46.766496
CMP-1011,7/29/2024,Street Lighting,Street Lighting reported in City Center,Industrial Area,Resolved,High,Water Management,9.0,24.83756,46.618813
CMP-1012,11/17/2023,Garbage Collection,Garbage Collection reported in Downtown,Parks,Pending,Medium,Water Management,,24.814395,46.776463
CMP-1013,11/30/2023,Potholes,Potholes reported in City Center,Residential Area,In Progress,Low,Sanitation,,24.69236,46.619608
CMP-1014,10/13/2023,Noise Complaint,Noise Complaint reported in City Center,Suburbs,Resolved,Medium,Public Works,13.0,24.793156,46.685412
CMP-1015,12/2/2024,Street Lighting,Street Lighting reported in Industrial Area,Industrial Area,Resolved,Low,Parks & Recreation,28.0,24.721542,46.773148
CMP-1016,4/19/2024,Garbage Collection,Garbage Collection reported in City Center,City Center,Resolved,Low,Traffic,5.0,24.7291,46.634504
CMP-1017,3/5/2024,Garbage Collection,Garbage Collection reported in Residential Area,Industrial Area,Escalated,Critical,Traffic,,24.623168,46.680085
CMP-1018,8/4/2024,Noise Complaint,Noise Complaint reported in Residential Area,Industrial Area,Resolved,High,Traffic,3.0,24.772323,46.756969
CMP-1019,10/20/2024,Street Lighting,Street Lighting reported in Downtown,City Center,Resolved,Medium,Water Management,15.0,24.815035,46.668951
CMP-1020,5/13/2024,Illegal Parking,Illegal Parking reported in Parks,Residential Area,In Progress,High,Traffic,,24.738156,46.680761
CMP-1021,9/9/2024,Illegal Parking,Illegal Parking reported in Parks,Industrial Area,Resolved,Low,Water Management,2.0,24.613362,46.699494
CMP-1022,4/22/2023,Water Leakage,Water Leakage reported in City Center,Residential Area,Resolved,Low,Sanitation,18.0,24.796762,46.761857
CMP-1023,3/1/2023,Street Lighting,Street Lighting reported in Residential Area,City Center,Resolved,Medium,Sanitation,5.0,24.769063,46.684602
CMP-1024,2/23/2024,Garbage Collection,Garbage Collection reported in Suburbs,Industrial Area,Resolved,Medium,Parks & Recreation,14.0,24.625288,46.60842
CMP-1025,11/17/2023,Noise Complaint,Noise Complaint reported in Suburbs,Suburbs,Escalated,Low,Public Works,,24.759689,46.632756
CMP-1026,9/6/2023,Street Lighting,Street Lighting reported in Industrial Area,Residential Area,Resolved,Low,Water Management,16.0,24.60797,46.746549
CMP-1027,4/3/2023,Water Leakage,Water Leakage reported in Parks,City Center,Pending,High,Public Works,,24.745998,46.688829
CMP-1028,12/18/2023,Street Lighting,Street Lighting reported in Residential Area,Industrial Area,Resolved,Low,Water Management,24.0,24.62187,46.772323
CMP-1029,8/24/2024,Street Lighting,Street Lighting reported in Downtown,Residential Area,Resolved,Medium,Sanitation,25.0,24.714045,46.786295
CMP-1030,6/11/2024,Illegal Parking,Illegal Parking reported in Suburbs,Parks,Pending,Medium,Traffic,,24.62079,46.710393
CMP-1031,9/23/2023,Garbage Collection,Garbage Collection reported in Parks,Residential Area,In Progress,High,Parks & Recreation,,24.698258,46.7095
CMP-1032,9/3/2023,Potholes,Potholes reported in Downtown,Industrial Area,Pending,Low,Public Works,,24.845031,46.617906
CMP-1033,10/7/2023,Garbage Collection,Garbage Collection reported in City Center,City Center,Resolved,Low,Public Works,23.0,24.666065,46.634775
