Date,Time,Complaint Type,Location,Latitude,Longitude,Has_Complaint
2023-07-01,02:56:00,No Complaints,Sector B,30.023611668259363,31.454453317372934,0
2023-11-11,07:54:00,No Complaints,Sector A,30.020717256041685,31.45021010733558,0
2023-07-08,06:26:00,No Complaints,Sector A,30.021387810459498,31.449394803523834,0
2023-05-03,23:43:00,No Complaints,Sector D,30.03068532215893,31.464770243534808,0
2023-03-13,22:37:00,Security,Sector E,30.034958217627675,31.470088786312093,1
2023-03-10,11:40:00,No Complaints,Sector E,30.034674524288082,31.469859501530127,0
2023-05-30,07:51:00,No Complaints,Sector A,30.020498899773898,31.45050346089613,0
2023-04-18,08:42:00,Cleaning,Sector B,30.023179406001855,31.4545360866141,1
2023-02-06,06:42:00,Cleaning,Sector B,30.022906065627467,31.454938163234125,1
2023-11-16,08:52:00,No Complaints,Sector E,30.034987600018354,31.469769382103852,0
2023-07-28,14:02:00,Cleaning,Sector A,30.021145640182397,31.45015890023023,1
2023-07-07,20:52:00,No Complaints,Sector B,30.0230707187017,31.455350504141176,0
2023-03-09,09:10:00,No Complaints,Sector A,30.021373907051608,31.450533013678506,0
2023-10-08,16:10:00,No Complaints,Sector D,30.03051770519265,31.465180508209414,0
2023-04-26,16:42:00,Pets Control,Sector D,30.030860295410516,31.465308787888667,1
2023-11-22,22:24:00,No Complaints,Sector E,30.034709650166363,31.469669291397246,0
2023-06-20,19:10:00,No Complaints,Sector A,30.020913852641367,31.44964263918787,0
2023-12-03,16:34:00,No Complaints,Sector C,30.027176536677132,31.460141688586923,0
2023-05-25,15:07:00,No Complaints,Sector B,30.022520475336055,31.45489494709393,0
2023-09-21,17:51:00,No Complaints,Sector D,30.030712907023254,31.465285889486147,0
2023-04-30,11:57:00,No Complaints,Sector A,30.020455347109483,31.44958458771382,0
2023-11-16,17:10:00,No Complaints,Sector A,30.020951648377714,31.44966080390836,0
2023-07-09,08:18:00,No Complaints,Sector D,30.03139101845762,31.464384976587702,0
2023-03-23,19:26:00,No Complaints,Sector A,30.020632649158955,31.44945009109368,0
2023-12-09,01:39:00,No Complaints,Sector B,30.02311108785299,31.45550807105565,0
2023-02-19,09:00:00,No Complaints,Sector A,30.021303752473408,31.450034817507536,0
2023-01-06,07:34:00,No Complaints,Sector C,30.026622727290786,31.460099863002974,0
2023-08-30,03:21:00,No Complaints,Sector E,30.034548704391035,31.47021068630321,0
2023-09-16,17:54:00,No Complaints,Sector B,30.023156137927852,31.455392905263835,0
2023-06-21,18:06:00,No Complaints,Sector A,30.021224519281713,31.449828070066662,0
2023-02-23,10:12:00,Pets Control,Sector D,30.03104756074339,31.464729340012976,1
2023-01-12,10:30:00,No Complaints,Sector C,30.026637815212045,31.46009294445505,0
2023-01-22,22:36:00,No Complaints,Sector B,30.02252831921195,31.45528221622218,0
2023-06-12,08:51:00,No Complaints,Sector B,30.02279821374931,31.45487403638243,0
2023-07-30,01:09:00,Security,Sector B,30.023104673907753,31.455454462550833,1
2023-02-28,13:02:00,No Complaints,Sector C,30.02678840279713,31.45957639219651,0
2023-12-20,23:30:00,No Complaints,Sector B,30.023168715303466,31.4547179989956,0
2023-04-04,14:35:00,No Complaints,Sector E,30.03465041169235,31.470046125295283,0
2023-11-08,02:33:00,Noise,Sector C,30.026608798486162,31.460407068085377,1
2023-08-25,01:40:00,Security,Sector D,30.031353071091512,31.465416196834916,1
2023-08-17,05:50:00,No Complaints,Sector A,30.021511760748993,31.44966958280277,0
2023-12-21,15:44:00,No Complaints,Sector A,30.02088039061467,31.45038321802959,0
2023-06-06,13:51:00,Pets Control,Sector D,30.03064500552453,31.464677980698163,1
2023-05-20,02:39:00,No Complaints,Sector D,30.031512353344954,31.465476160786483,0
2023-10-05,16:11:00,Traffic,Sector B,30.023121914562328,31.4553245782868,1
2023-12-21,22:19:00,No Complaints,Sector B,30.022549420871794,31.45557475591522,0
2023-06-28,09:41:00,No Complaints,Sector C,30.027315106664823,31.459701631210326,0
